SP_ID,gpw4_2000e,id,gpw4_2005e,gpw4_2010e,gpw4_2015e,gpw4_2020e,ncc4_1992e,ncc4_1993e,ncc4_1994e,ncc4_1995e,ncc4_1996e,ncc4_1997e,ncc4_1998e,ncc4_1999e,ncc4_2000e,ncc4_2001e,ncc4_2002e,ncc4_2003e,ncc4_2004e,ncc4_2005e,ncc4_2006e,ncc4_2007e,ncc4_2008e,ncc4_2009e,ncc4_2010e,ncc4_2011e,ncc4_2012e,dflc_e,dcfu_e,dcsu_e,dfmi_e,dfrw_e,ncc4_2013e
274,156.3692017,275,173.992981,190.5383911,205.6080017,220.3809204,16.00984573,11.80265999,4.426389217,15.11431694,16.87163353,22.24321365,19.04560852,23.41277313,18.44055176,18.02293587,13.95848846,16.32086182,18.11431694,36.41356277,25.14741516,20.8808403,21.52740669,22.58819199,18.79833031,22.57972336,27.51846695,1815142.25,1398263.75,1382961.5,1265694.5,119710.1953,28.75
275,0.193535104,276,0.220373452,0.246123359,0.272360533,0.298667341,0,0.002269553,0.003465071,0.005690898,0.006501019,0.004792285,0.00394004,0.002550256,0.003647419,0.003578001,0.003346247,0.005079923,0.004185645,0.002615236,0.001659043,0.002475861,0.003462801,0.006444263,0.008661378,0.00868074,0.004065411,851465.625,43766.67188,147382.7344,129785.3359,1278783.875,0.009363469
276,0.273982793,277,0.328094244,0.387657315,0.456123829,0.534291804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696016.625,13685.33594,65511.76563,167957.7188,1133757.875,0
277,0.019168478,278,0.022962505,0.027199415,0.03218009,0.038106617,0,0,0.002777614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000720122,0,218028.2969,259400.9688,446113.4688,133025.8594,447602.3438,0
278,0.155216932,279,0.195645615,0.242728293,0.298446238,0.360759556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53727.63672,62259.40625,221976.1875,4831.487305,781723.125,0
279,0.219244793,280,0.277333021,0.343654186,0.421463072,0.511183739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46682.13672,77207.45313,236785.3594,2961.561035,771750,0
280,5.433240891,281,5.973455429,6.394647121,6.739728451,7.103577614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338155121,0,0,524227.4375,36219.91797,8703.774414,148813.5469,967965.625,0
281,0.760235071,282,0.814998567,0.859712601,0.896955729,0.926308453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412613.75,279742.1875,85668.59375,33024.26953,403781.8125,0
282,22.91467667,283,26.61366272,30.22726631,33.99785614,37.77490234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352676094,1.071652055,101100.2109,125348.6641,112540.8594,17647.61328,379281.4375,0
283,0.940055966,284,1.020679235,1.089044929,1.152822018,1.210543752,0,0,0,0,0.001149299,0.11950919,0.001149299,0,0.035076164,0.024743399,0.039008513,0.109813571,0.214836389,0.056906395,0.032772284,0.062355507,0.144778937,0.243716702,0.308228552,0.122570276,0.211873561,561578.5625,57112.53125,16442.22461,120326.2344,1008264.5,0.292929293
284,45.44749069,285,46.28219223,46.17827988,45.5970993,44.53659058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1804883.75,1332343.375,1434347.875,1297685.625,37554.30469,0
285,16.18810654,286,18.8341198,21.47690964,24.13793755,26.98011398,0,7.889969826,2.040325403,8.044892311,7.613654137,8.896021843,8.376454353,9.201991081,8.919532776,7.754219532,10.86574745,17.25704193,19.84081268,16.56205177,18.61326981,18.13651657,19.87094498,17.20018196,16.02223396,15.03254223,15.62674809,1695029.75,1294961.75,1252041.75,1139849.125,4603.998535,16.16666667
286,1.60384047,287,1.863349795,2.1177001,2.382460356,2.654105186,0,5.767514229,0,0,1.314318299,1.342426181,8.647254944,1.534201384,8.652381897,1.717945576,7.272847176,6.567295074,1.909720659,8.472653389,9.33038044,10.57532501,10.75906944,10.3562746,9.16966629,15.52721214,16.33439636,149867.5156,132564.125,87309.74219,6667.006836,140215.1719,18.25
287,43.55748749,288,50.96265793,58.43130493,66.26074219,74.50948334,2.505016565,6.130038738,1.59625566,7.149345875,9.22303009,9.343071938,7.903815746,9.100747108,7.899923801,6.948135853,8.516976357,9.14029789,8.422800064,9.674091339,10.69507217,9.662004471,10.4585619,11.03076077,10.53588104,9.788248062,11.52554512,1849086.125,1427926.125,1419878.125,1301297.75,156415.0156,10.82608696
288,3.448680162,289,3.795701981,4.08209753,4.347394466,4.580637455,0,0,0,0,0,0.061280679,0.001115612,0,0.014260586,0,0,0.038740356,0.004530082,0,0,0,0.00604011,0,0.028605688,0,0,83138.32031,148724.4531,304959.8438,235703.1094,622711.375,0
289,0.334886879,290,0.25948742,0.196913287,0.147906333,0.109938547,0,0,0,0.000852714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235663.75,224419.6563,72209.69531,55770.76563,630914.75,0
290,2.356107712,291,2.626215696,2.810529232,3.014059305,3.178367853,0,0,0,0,0,0,0,0,0.605870903,0,0,0,0,0,0,0,0,0,0,0,0,77963.07031,132709.6406,294708.25,238451.125,611081.25,0
291,7.719120979,292,8.972629547,10.21252632,11.50476551,12.82325554,0,0,0,0,0,0,0,0,0,0,0.166653454,0.085522525,0.148608044,0.158509195,0,0.130977049,0.191769376,0.384978801,0.179866791,0.472163618,0.233150572,84033.35938,95987.28906,89037.94531,28106.12891,362604.9375,0.430493274
292,0.041998334,293,0.046936687,0.051165827,0.055201363,0.059068054,0.000191192,0,0,0,0,0,0,0,0.000748406,0.000208438,0.00037983,0,0.007470811,0.002417401,0,0,0,0.002205048,0.0031423,0.006178469,0.004439241,58052.54688,67713.42969,146026.4219,86703.57813,715533.5,0.005358714
293,8.197559357,294,8.737695694,9.118244171,9.418148041,9.633641243,0,0.000370798,0,0.033817694,0.035160087,0.031036543,0.000432597,0.000494397,0.017450156,0,0.000308998,0.017326556,0.000432597,0.000432597,0.112176105,0.168167889,0.274616241,0.26449573,0.493580848,0.08524362,0.256853461,1025635.813,514912.6875,696648.3125,612048.5,29956.92188,0.418918919
294,25.78804398,295,29.85314369,33.92226791,38.10557938,42.44812775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91683.09375,104184.3438,93870.39063,21064.22266,372281.75,0
295,0.163413554,296,0.183100969,0.201422751,0.220159352,0.23846364,0,0.001955463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260295.4375,101754.6875,193238.125,70764.28125,206977.7813,0
296,41.40385818,297,40.99529648,39.74362946,38.14002991,36.21751785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062673539,0.289169669,902014.75,407181.7188,567186.9375,482401.6563,62762.01953,0
297,19.074543,298,18.54620552,17.68210983,16.69002533,15.59228039,0.490438789,0.904482245,0.655569434,1.486889601,1.543085456,1.489975333,1.223108649,1.199064493,1.102331638,1.042507529,1.41275847,1.265529513,1.393086195,1.124076009,1.52873981,1.409270048,1.542145252,1.293314338,1.723212123,1.399230361,1.045596838,1662404.25,1178654.75,1298033.375,1172946.625,71360.09375,1.554216867
